"id","nom","date_created","pays_id"
"1","Agadir","current_timestamp","1"
"2","Beni Mellal","current_timestamp","1"
"3","Berkane","current_timestamp","1"
"4","Casablanca","current_timestamp","1"
"5","El Jadida","current_timestamp","1"
"6","Fès","current_timestamp","1"
"7","Kénitra","current_timestamp","1"
"8","Khémisset","current_timestamp","1"
"9","Khouribga","current_timestamp","1"
"10","Laâyoune","current_timestamp","1"
"11","Marrakech","current_timestamp","1"
"12","Meknes","current_timestamp","1"
"13","Mohammédia","current_timestamp","1"
"14","Nador","current_timestamp","1"
"15","Oujda","current_timestamp","1"
"16","Rabat","current_timestamp","1"
"17","Safi","current_timestamp","1"
"18","Salé","current_timestamp","1"
"19","Tanger","current_timestamp","1"
"20","Taourirt","current_timestamp","1"
"21","Taza","current_timestamp","1"
"22","Témara","current_timestamp","1"
"23","Tétouan","current_timestamp","1"
"200","RUH","current_timestamp","4"
"201","TUU","current_timestamp","4"
"202","AHB","current_timestamp","4"
"203","DMM","current_timestamp","4"
"204","YNB","current_timestamp","4"
"205","MED","current_timestamp","4"
"206","ELQ","current_timestamp","4"
"207","JED","current_timestamp","4"
"208","BHH","current_timestamp","4"
"209","KMX","current_timestamp","4"
"210","GIZ","current_timestamp","4"
"211","TIF","current_timestamp","4"
"212","EAM","current_timestamp","4"
"213","QCA","current_timestamp","4"
"214","HBT","current_timestamp","4"
"300","Alexandria","current_timestamp","3"
"301","Cairo ","current_timestamp","3"
"100","SFAX","current_timestamp","2"
"101","TUNIS","current_timestamp","2"
"102","HAMMAMET","current_timestamp","2"
"103","KSOUR ESSAF","current_timestamp","2"
"104","DJERBA","current_timestamp","2"
"105","GABES","current_timestamp","2"
"106","SOUSSE","current_timestamp","2"
"107","KAIROUAN","current_timestamp","2"
"108","BEN GARDANE","current_timestamp","2"
"109","BIZERTE","current_timestamp","2"
"110","KELIBIA","current_timestamp","2"
"111","SIDI BOUZID","current_timestamp","2"
"112","MEGRINE","current_timestamp","2"
"113","BEJA","current_timestamp","2"
"114","EZ ZAHRA","current_timestamp","2"
"115","ARIANA","current_timestamp","2"
"116","MONASTIR","current_timestamp","2"
"117","GAFSA","current_timestamp","2"
"118","MOKNINE","current_timestamp","2"
"119","MEDENINE","current_timestamp","2"
"120","JENDOUBA","current_timestamp","2"
"121","NABEUL","current_timestamp","2"
"122","KORBA","current_timestamp","2"
"123","MAHDIA","current_timestamp","2"
"124","KSAR HELLAL","current_timestamp","2"
"125","KEBILI","current_timestamp","2"
"126","CARTHAGE","current_timestamp","2"
"127","TOZEUR","current_timestamp","2"
"128","KASSERINE","current_timestamp","2"
"129","TATAOUINE","current_timestamp","2"
"130","ZARZIS","current_timestamp","2"
"131","MSAKEN","current_timestamp","2"
"132","LA SOUKRA","current_timestamp","2"
"133","LE KEF","current_timestamp","2"
"134","HAMMAM-LIF","current_timestamp","2"
"135","AL-MARSA","current_timestamp","2"
"24","Sidi Kacem","current_timestamp","1"
136,Ahfir,current_timestamp,1
137,Al-hoceima,current_timestamp,1
138,ALSHARQIA,current_timestamp,3
139,DAKHLA,current_timestamp,1
140,Douz                          ,current_timestamp,2
141,GUELMIM,current_timestamp,1
142,Guercif,current_timestamp,1
143,INEZGANE,current_timestamp,1
144,KENITRA,current_timestamp,1
145,LAAYOUNE,current_timestamp,1
146,MAKKAH,current_timestamp,4
147,Manouba                       ,current_timestamp,2
148,OUARZAZATE,current_timestamp,1
149,RIYADH,current_timestamp,4
150,TETOUANE,current_timestamp,1
151,TIZNIT,current_timestamp,1